record_id,session_id,timestamp_utc,activity,notes,sample_number,accel_x_mps2,accel_y_mps2,accel_z_mps2,accel_avg_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,gyro_avg_dps,board_time_ms,accel_msd,gyro_msd,slope_window_samples,accel_avg_slope,accel_msd_slope,gyro_avg_slope,gyro_msd_slope,elapsed_s,accel_magnitude_g,gyro_magnitude_dps,abs_accel_avg_slope,abs_accel_msd_slope,accel_msd_mean_500ms,accel_msd_mean_1000ms,abs_gyro_avg_slope,abs_gyro_msd_slope,gyro_msd_mean_500ms,gyro_msd_mean_1000ms
2043,3,2026-09-24T03:33:10.081+00:00,normal-walking,Trial 1: simulate walking and nomral everyday activity on board,9783,0.304,-1.02,9.767,3.017,-9.489,-37.213,0.033,-15.556,981134,0.06366482,7.480983,5,-0.6810913,-0.04369003,-32.02868,-361.8624,0.0,1.001852912412177,38.403770374795236,0.6810913,0.04369003,,,32.02868,361.8624,,
2044,3,2026-09-24T03:33:10.181+00:00,normal-walking,Trial 1: simulate walking and nomral everyday activity on board,9784,0.647,-1.245,9.679,3.027,-1.639,-28.224,3.244,-8.873,981234,0.05882427,50.91172,5,-0.04832086,-0.04913985,-16.9395,-554.7449,0.1,0.9972995296155799,28.457055944000956,0.04832086,0.04913985,,,16.9395,554.7449,,
2045,3,2026-09-24T03:33:10.280+00:00,normal-walking,Trial 1: simulate walking and nomral everyday activity on board,9785,0.814,-1.255,9.669,3.076,0.188,-24.038,3.203,-6.882,981334,0.009328521,6.954071,5,0.3675274,-0.2171085,19.21452,-513.4977,0.2,0.9976930838343876,24.25118547617827,0.3675274,0.2171085,,,19.21452,513.4977,,
2046,3,2026-09-24T03:33:10.380+00:00,normal-walking,Trial 1: simulate walking and nomral everyday activity on board,9786,0.981,-1.236,9.709,3.151,1.908,-22.088,-3.145,-7.775,981434,0.009905548,15.686,5,0.5090425,-0.1480341,27.82198,-69.84697,0.3,1.003033515989643,22.3922136690413,0.5090425,0.1480341,,,27.82198,69.84697,,
2047,3,2026-09-24T03:33:10.480+00:00,normal-walking,Trial 1: simulate walking and nomral everyday activity on board,9787,1.245,-1.324,9.826,3.249,-2.681,-23.268,-6.383,-10.777,981534,0.03058224,10.97866,5,0.5883987,-0.1150839,10.656,-28.23037,0.4,1.018967859265827,24.276125596972843,0.5883987,0.1150839,,,10.656,28.23037,,
2048,3,2026-09-24T03:33:10.579+00:00,normal-walking,Trial 1: simulate walking and nomral everyday activity on board,9788,1.697,-1.422,9.552,3.275,7.684,-15.841,-5.557,-4.571,981634,0.09617045,54.42528,5,0.6701217,0.09594608,4.708333,11.0517,0.5,0.9998555208539159,18.46243174665786,0.6701217,0.09594608,0.0409622058,,4.708333,11.0517,27.791146200000004,
2049,3,2026-09-24T03:33:10.679+00:00,normal-walking,Trial 1: simulate walking and nomral everyday activity on board,9789,2.01,-1.442,9.64,3.403,20.218,-6.403,-6.565,2.417,981734,0.03555096,82.39769,5,0.7779946,0.1387098,21.80167,189.6265,0.6,1.0148562072093963,22.200566614390723,0.7779946,0.1387098,0.0363075438,,21.80167,189.6265,34.0883402,
2050,3,2026-09-24T03:33:10.779+00:00,normal-walking,Trial 1: simulate walking and nomral everyday activity on board,9790,2.099,-1.275,9.522,3.449,20.466,-2.159,-15.161,1.049,981834,0.01647719,30.65475,5,0.748575,0.018112,30.84133,101.3565,0.7,1.0027492812541312,25.561188509144092,0.748575,0.018112,0.037737277599999994,,30.84133,101.3565,38.828476,
2051,3,2026-09-24T03:33:10.878+00:00,normal-walking,Trial 1: simulate walking and nomral everyday activity on board,9791,1.785,-0.765,9.64,3.553,18.114,3.14,-23.393,-0.713,981934,0.1241239,33.79237,5,0.7812626,0.10739,25.74867,21.85691,0.8,1.0027551919670343,29.752462839234,0.7812626,0.10739,0.060580948,,25.74867,21.85691,42.44975,
2052,3,2026-09-24T03:33:10.978+00:00,normal-walking,Trial 1: simulate walking and nomral everyday activity on board,9792,1.03,0.226,9.63,3.628,18.888,7.727,-24.334,0.76,982034,0.5171081,7.508376,5,0.8564467,0.9304483,7.533668,-142.4391,0.9,0.987856500908481,31.758567804609832,0.8564467,0.9304483,0.15788612,,7.533668,142.4391,41.7556932,
