session_id,level,start_s,end_s,samples,accel_magnitude_mps2_mean,accel_magnitude_mps2_max,gyro_magnitude_dps_mean,gyro_magnitude_dps_max,accel_msd_mean,accel_msd_max,gyro_msd_mean,gyro_msd_max
1,1,0,1,10,10.042,10.042,1.4225,1.443,3.205679e-06,3.205679e-05,2.68666467e-05,8.533241e-05
1,1,1,2,10,10.044999999999998,10.052,1.4155000000000002,1.425,3.205668e-06,3.205668e-05,5.570004579999999e-05,0.0001830006
1,1,2,3,10,10.051999999999998,10.052,1.4094000000000002,1.425,0.0,0.0,6.236654900000001e-05,0.0001539995
1,1,3,4,10,10.051999999999998,10.052,1.4005,1.405,0.0,0.0,3.88999949e-05,0.0001496668
1,1,4,5,10,10.051999999999998,10.052,1.4058,1.418,0.0,0.0,4.063331814e-05,0.0001673334
1,1,5,6,10,10.051999999999998,10.052,1.4153999999999998,1.435,0.0,0.0,5.3466654399999995e-05,0.0001846676
1,1,6,7,10,10.051999999999998,10.052,1.4255,1.44,0.0,0.0,5.546657599999999e-05,0.000115333
1,1,7,8,10,10.051999999999998,10.052,1.4247999999999998,1.434,0.0,0.0,7.603350200000001e-05,0.0001646663
1,1,8,9,10,10.051999999999998,10.052,1.4145,1.429,0.0,0.0,5.8199739000000005e-05,0.0001229991
1,1,9,10,10,10.051999999999998,10.052,1.4281000000000001,1.447,0.0,0.0,5.9099936999999994e-05,0.0001326669
1,1,10,11,10,10.051999999999998,10.052,1.4053999999999998,1.414,0.0,0.0,1.4000035099999999e-05,9.666684e-05
1,1,11,12,10,10.051999999999998,10.052,1.4135,1.425,0.0,0.0,3.9299919e-05,9.66662e-05
1,1,12,13,10,10.051999999999998,10.052,1.4251,1.436,0.0,0.0,6.4133473e-05,0.0001366672
1,1,13,14,10,10.051999999999998,10.052,1.4141,1.431,0.0,0.0,6.886667500000001e-05,0.0001486666
1,1,14,15,10,10.049000000000001,10.052,1.4290999999999998,1.447,3.205668e-06,3.205668e-05,6.480007900000001e-05,0.0001610003
1,1,15,16,10,10.042,10.042,1.4262000000000001,1.442,0.0,0.0,6.0866630999999996e-05,0.0001420001
1,1,16,17,10,10.050999999999998,10.052,1.4152999999999998,1.431,3.205668e-06,3.205668e-05,2.7799814400000002e-05,9.933326e-05
1,1,17,18,9,10.052,10.052,1.4107777777777777,1.427,0.0,0.0,7.562957855555555e-05,0.0002256665
1,1,18,19,10,10.051999999999998,10.052,1.4241000000000001,1.443,0.0,0.0,5.0933267999999995e-05,0.000134667
1,1,19,20,10,10.049000000000001,10.052,1.4144,1.432,3.205668e-06,3.205668e-05,2.156652845e-05,9.666684e-05
1,1,20,21,10,10.042,10.042,1.4105999999999999,1.421,0.0,0.0,5.996669099999999e-05,0.0001526663
1,1,21,22,10,10.035999999999998,10.042,1.4129999999999998,1.422,3.205668e-06,3.205668e-05,6.249996350000001e-05,0.000123333
1,1,22,23,10,10.032,10.032,1.4068999999999998,1.419,0.0,0.0,6.159999399999999e-05,0.0002296662
1,1,23,24,10,10.042,10.042,1.4227,1.438,3.205668e-06,3.205668e-05,5.9533455599999995e-05,9.400002e-05
1,1,24,25,10,10.042,10.042,1.4271999999999998,1.436,0.0,0.0,5.5899621e-05,0.0001246662
1,1,25,26,10,10.042,10.042,1.4228999999999998,1.44,0.0,0.0,6.246659399999999e-05,0.0002030003
1,1,26,27,10,10.047999999999998,10.052,1.4114,1.429,3.205668e-06,3.205668e-05,4.58999417e-05,0.0001126662
1,1,27,28,10,10.051999999999998,10.052,1.4199,1.44,0.0,0.0,3.8500002e-05,0.0001296668
1,1,28,29,10,10.051999999999998,10.052,1.4205999999999999,1.435,0.0,0.0,5.32332991e-05,0.0001233329
2,1,0,1,10,10.042,10.042,1.4284999999999999,1.446,0.0,0.0,4.9400019199999996e-05,0.0001103337
2,1,1,2,10,10.042,10.042,1.4297,1.451,0.0,0.0,4.73000382e-05,0.000152667
