session_id,level,activity,notes,samples,accel_magnitude_mps2_mean,accel_magnitude_mps2_min,accel_magnitude_mps2_max,accel_magnitude_mps2_peak_time_s,gyro_magnitude_dps_mean,gyro_magnitude_dps_min,gyro_magnitude_dps_max,gyro_magnitude_dps_peak_time_s,accel_msd_mean,accel_msd_min,accel_msd_max,accel_msd_peak_time_s,gyro_msd_mean,gyro_msd_min,gyro_msd_max,gyro_msd_peak_time_s,accel_magnitude_slope_mean,accel_magnitude_slope_min,accel_magnitude_slope_max,accel_magnitude_slope_peak_time_s,accel_magnitude_slope_absolute_max,gyro_magnitude_slope_mean,gyro_magnitude_slope_min,gyro_magnitude_slope_max,gyro_magnitude_slope_peak_time_s,gyro_magnitude_slope_absolute_max,accel_msd_slope_mean,accel_msd_slope_min,accel_msd_slope_max,accel_msd_slope_peak_time_s,accel_msd_slope_absolute_max,gyro_msd_slope_mean,gyro_msd_slope_min,gyro_msd_slope_max,gyro_msd_slope_peak_time_s,gyro_msd_slope_absolute_max,first_10s_accel_magnitude_mps2_mean,first_10s_gyro_magnitude_dps_mean,first_10s_accel_msd_mean,first_10s_gyro_msd_mean,20_to_30s_accel_magnitude_mps2_mean,20_to_30s_gyro_magnitude_dps_mean,20_to_30s_accel_msd_mean,20_to_30s_gyro_msd_mean,accel_msd_exceeds_previous_max_first_s,accel_msd_exceeds_previous_max_last_s,accel_msd_exceeds_previous_max_samples
1,1,stationary,Trial 1 (level 1): grandma sitting still,299,10.0481872909699,10.032,10.052,1.708,1.4167324414715718,1.395,1.447,9.652,8.577041806020066e-07,0.0,3.205679e-05,0.0,5.173351794280936e-05,3.333248e-07,0.0002296662,22.729,0.0003270267748494983,-0.02933867,0.02941704,26.55,0.02941704,-0.0012154447695652169,-0.08340189,0.09345782,0.803,0.09345782,-8.413660582608693e-07,-6.379415e-05,6.392129e-05,16.19,6.392129e-05,-1.721148861204013e-06,-0.0004640153,0.0003351718,4.826,0.0004640153,10.050299999999998,1.4162000000000001,6.411347e-07,5.267329629399999e-05,10.043999999999999,1.4161399999999997,9.617004e-07,5.397661798999999e-05,,,
2,1,stationary,Trial 2 (level 1): grandma sitting still,300,10.050099999999999,10.042,10.052,2.701,1.4277499999999999,1.4,1.458,13.604,3.2056716666666666e-07,0.0,3.205679e-05,24.804,6.418890244e-05,3.000141e-06,0.0001830006,28.626,1.7765640333333722e-06,-0.02922498,0.02936106,2.802,0.02936106,-0.00016590312900000007,-0.08544624,0.1100035,4.204,0.1100035,-4.233972604666665e-07,-0.0001282259,6.411359e-05,24.804,0.0001282259,-1.4664772753333328e-06,-0.0003790002,0.0004443335,28.726,0.0004443335,10.049299999999999,1.4256499999999996,3.205668e-07,6.109000268e-05,10.049000000000001,1.4266099999999997,6.411347e-07,6.382663152e-05,,,
3,1,stationary,Trial 3 (level 1): grandma sitting still,298,10.039872483221476,10.003,10.052,4.418,1.4288422818791946,1.398,1.464,21.928,1.2908737583892617e-06,0.0,3.205679e-05,0.503,6.7097344852349e-05,3.333377e-06,0.0002406678,21.124,-0.00016405901531208042,-0.07831569,0.03897308,12.568,0.07831569,0.0005031176926174495,-0.1016532,0.1240371,19.112,0.1240371,-1.2644872454362418e-06,-0.0001908134,9.578647e-05,0.604,0.0001908134,2.22676550248322e-06,-0.0004837577,0.0004514102,0.604,0.0004837577,10.0451,1.4277200000000005,1.6028362e-06,6.858998357e-05,10.042000000000002,1.431363636363636,0.0,6.523572828282828e-05,,,
4,1,stationary,Trial 4 (level 1): grandma sitting still,298,10.053610738255033,10.042,10.072,4.83,1.4286342281879194,1.399,1.47,25.84,1.9363128187919463e-06,0.0,0.0001282267,4.83,7.133336045973154e-05,3.000042e-06,0.0001983338,8.449,0.0002619357027852349,-0.02937013,0.05852739,4.93,0.05852739,0.00025397725671140947,-0.09456521,0.1195835,5.835,0.1195835,-1.804014085302013e-06,-0.0002548594,0.0002549229,4.83,0.0002549229,-1.0624010375838929e-06,-0.0003525234,0.0003930899,13.579,0.0003930899,10.0568,1.4219,5.1290764e-06,7.104671349999999e-05,10.051999999999998,1.430242424242424,6.476119191919192e-07,6.77609474949495e-05,,,
5,1,stationary,Trial 5 (level 1): grandma sitting still,299,10.045545150501672,10.022,10.062,0.0,1.4338795986622075,1.397,1.463,10.263,1.500983076923077e-06,0.0,6.411346e-05,2.615,7.312821241137123e-05,2.666638e-06,0.0002090003,13.783,-0.0004920598149832777,-0.02934152,0.02934967,0.0,0.02934967,0.0015232157322876258,-0.1086105,0.09475094,15.492,0.1086105,-6.207773868561871e-07,-9.578621e-05,0.0001282259,2.615,0.0001282259,1.856875006688963e-06,-0.0003950586,0.0004422147,13.783,0.0004422147,10.048499999999999,1.4252499999999997,2.8851054e-06,7.24333677e-05,10.039000000000001,1.4420999999999997,1.2822672e-06,7.479664959999999e-05,,,
6,2,walking-slowly,Trial 6 (level 2): grandma walking slowly,300,9.947613333333333,9.765,10.108,12.908,7.854876666666668,0.897,16.469,20.409,0.004622801583533334,3.205668e-05,0.07090961,24.709,1.829588856796667,0.006309659,13.0611,20.709,-0.0021607064166666665,-0.76752,0.4917793,19.509,0.76752,-0.044343978166666694,-40.00389,20.29778,18.809,40.00389,6.575656966666075e-06,-0.1590977,0.1499616,5.306,0.1590977,0.0695550295333334,-31.02538,32.65156,20.709,32.65156,9.95397,6.681360000000001,0.0035810637355999995,1.0497496787000002,9.94438,8.95619,0.004502374419700001,2.4031322599000005,,,
7,2,walking-slowly,Trial 7 (level 2): grandma walking slowly,299,9.95936789297659,9.65,10.086,2.406,7.272481605351171,0.739,18.328,0.904,0.003233020841304348,0.0,0.1177446,0.0,1.348543165541806,0.005593308,26.50046,0.0,-0.0045898043290969895,-1.509104,0.6293567,0.502,1.509104,-0.6384011374581938,-39.40021,22.25177,0.703,39.40021,-0.0037922733134615385,-0.5891331,0.2908596,0.0,0.5891331,-1.753258391100335,-276.1553,20.10648,9.211,276.1553,9.93726,9.00727,0.0063453230914,2.3717162791999997,9.964272727272725,6.201808080808083,0.0016643650115151516,0.7425617085555554,,,
8,2,walking-slowly,Trial 8 (level 2): grandma walking slowly,300,9.94919,9.53,10.044,11.007,6.058816666666667,0.478,32.94,0.0,0.003039838709466667,3.205668e-05,0.1378763,0.502,1.3539016814166664,0.001155333,78.47056,0.101,0.007724002738233333,-0.638454,0.8443098,0.602,0.8443098,-0.6107211311999998,-76.36274,57.90226,0.0,76.36274,-0.0006938940193833335,-0.3388083,0.2648102,0.502,0.3388083,-1.24210529829,-213.3623,102.6338,0.202,213.3623,9.929280000000002,6.154849999999999,0.005491649642500001,2.16724748276,9.94893,5.461839999999999,0.0017637647446999997,1.03412520029,,,
9,2,walking-slowly,Trial 9 (level 2): grandma walking slowly,300,9.9595,9.795,10.092,14.109,5.780823333333333,0.233,12.092,3.604,0.0024460399576999997,0.0,0.02394639,7.606,0.9619913698733334,0.009446999,10.4124,14.009,0.005412078016999999,-0.6527443,0.3621168,3.604,0.6527443,0.11158693863333342,-27.92914,17.7614,14.209,27.92914,0.0001728819149666666,-0.05173962,0.06707847,7.706,0.06707847,-0.017899905283333364,-15.58777,21.29483,14.009,21.29483,9.952629999999997,5.14206,0.0024827986927,0.9498042351299999,9.964989999999998,6.161720000000002,0.0026655228238000005,0.8857557745999999,,,
10,2,walking-slowly,Trial 10 (level 2): grandma walking slowly,300,9.948446666666667,9.806,10.084,29.617,5.743133333333334,0.884,15.488,25.414,0.0022951580758000002,3.205668e-05,0.01907375,1.402,0.8900472588233334,0.009489007,6.579716,7.804,-0.00046783638133333363,-0.5835295,0.3608932,29.617,0.5835295,0.3232865171000001,-28.22102,21.533,29.717,28.22102,0.00012025863990211364,-0.03904518,0.04744407,20.109,0.04744407,0.0615523233566667,-14.60315,10.54228,16.709,14.60315,9.951659999999999,6.025689999999998,0.0025193415206999996,0.9047522296,9.95249,5.4199,0.0024949792515,0.91060832877,,,
