session_id,samples,span_s,min_interval_ms,max_interval_ms,mean_interval_ms,missing_sample_counters
1,299,29.973,100,101,100.58053691275168,0
2,300,29.926,100,101,100.08695652173913,0
3,298,29.868,100,101,100.56565656565657,0
4,298,29.862,100,101,100.54545454545455,0
5,299,29.967,100,101,100.56040268456375,0
6,300,29.91,100,101,100.03344481605352,0
7,299,29.827,100,101,100.09060402684564,0
8,300,29.923,100,101,100.07692307692308,0
9,300,29.918,100,101,100.06020066889631,0
10,300,29.917,100,101,100.05685618729098,0
11,299,29.894,100,101,100.31543624161074,0
12,298,29.932,100,101,100.78114478114477,0
13,298,29.954,100,101,100.85521885521885,0
14,298,29.92,100,101,100.74074074074075,0
15,299,29.985,100,101,100.62080536912751,0
16,298,29.976,100,101,100.92929292929293,0
17,298,29.98,100,101,100.94276094276094,0
18,297,29.873,100,101,100.92229729729729,0
19,298,29.968,100,101,100.9023569023569,0
20,298,29.97,100,101,100.9090909090909,0
21,299,29.961,100,101,100.54026845637584,0
22,299,30.019,100,101,100.73489932885906,0
23,299,30.019,100,101,100.73489932885906,0
24,299,30.016,100,101,100.7248322147651,0
25,299,30.01,100,101,100.70469798657719,0
