session_id,level,samples_in_timing_analysis,accel_magnitude_mps2_max,accel_magnitude_mps2_min,accel_magnitude_mps2_mean,accel_magnitude_mps2_peak_s,gyro_magnitude_dps_max,gyro_magnitude_dps_min,gyro_magnitude_dps_mean,gyro_magnitude_dps_peak_s,accel_msd_max,accel_msd_min,accel_msd_mean,accel_msd_peak_s,gyro_msd_max,gyro_msd_min,gyro_msd_mean,gyro_msd_peak_s,accel_magnitude_slope_max,accel_magnitude_slope_min,accel_magnitude_slope_mean,accel_magnitude_slope_peak_s,accel_magnitude_slope_absolute_max,gyro_magnitude_slope_max,gyro_magnitude_slope_min,gyro_magnitude_slope_mean,gyro_magnitude_slope_peak_s,gyro_magnitude_slope_absolute_max,accel_msd_slope_max,accel_msd_slope_min,accel_msd_slope_mean,accel_msd_slope_peak_s,accel_msd_slope_absolute_max,gyro_msd_slope_max,gyro_msd_slope_min,gyro_msd_slope_mean,gyro_msd_slope_peak_s,gyro_msd_slope_absolute_max,first10s_accel_magnitude_mps2_mean,first10s_accel_magnitude_mps2_max,first10s_gyro_magnitude_dps_mean,first10s_gyro_magnitude_dps_max,first10s_accel_msd_mean,first10s_accel_msd_max,first10s_gyro_msd_mean,first10s_gyro_msd_max,last5s_accel_magnitude_mps2_mean,last5s_accel_magnitude_mps2_max,last5s_gyro_magnitude_dps_mean,last5s_gyro_magnitude_dps_max,last5s_accel_msd_mean,last5s_accel_msd_max,last5s_gyro_msd_mean,last5s_gyro_msd_max
1,1,299,10.052,10.032,10.0481872909699,1.708,1.447,1.395,1.4167324414715718,9.652,3.205679e-05,0.0,8.577041806020066e-07,0.0,0.0002296662,3.333248e-07,5.173351794280936e-05,22.729,0.02941704,-0.02933867,0.0003270267748494983,26.55,0.02941704,0.09345782,-0.08340189,-0.0012154447695652169,0.803,0.09345782,6.392129e-05,-6.379415e-05,-8.413660582608693e-07,16.19,6.392129e-05,0.0003351718,-0.0004640153,-1.721148861204013e-06,4.826,0.0004640153,10.050299999999998,10.052,1.4162000000000001,1.447,6.411347e-07,3.205679e-05,5.267329629399999e-05,0.0001846676,10.0492,10.052,1.4162000000000001,1.44,6.411336e-07,3.205668e-05,4.805329096000001e-05,0.0002030003
2,1,300,10.052,10.042,10.050099999999999,2.701,1.458,1.4,1.4277499999999999,13.604,3.205679e-05,0.0,3.2056716666666666e-07,24.804,0.0001830006,3.000141e-06,6.418890244e-05,28.626,0.02936106,-0.02922498,1.7765640333333722e-06,2.802,0.02936106,0.1100035,-0.08544624,-0.00016590312900000007,4.204,0.1100035,6.411359e-05,-0.0001282259,-4.233972604666665e-07,24.804,0.0001282259,0.0004443335,-0.0003790002,-1.4664772753333328e-06,28.726,0.0004443335,10.049299999999999,10.052,1.4256499999999996,1.451,3.205668e-07,3.205668e-05,6.109000268e-05,0.0001820006,10.046,10.052,1.4286400000000004,1.448,6.411336e-07,3.205668e-05,7.095333468e-05,0.0001830006
3,1,298,10.052,10.003,10.039872483221476,4.418,1.464,1.398,1.4288422818791946,21.928,3.205679e-05,0.0,1.2908737583892617e-06,0.503,0.0002406678,3.333377e-06,6.7097344852349e-05,21.124,0.03897308,-0.07831569,-0.00016405901531208042,12.568,0.07831569,0.1240371,-0.1016532,0.0005031176926174495,19.112,0.1240371,9.578647e-05,-0.0001908134,-1.2644872454362418e-06,0.604,0.0001908134,0.0004514102,-0.0004837577,2.22676550248322e-06,0.604,0.0004837577,10.0451,10.052,1.4277200000000005,1.452,1.6028362e-06,3.205679e-05,6.858998357e-05,0.0001936665,10.042,10.042,1.42838,1.452,0.0,0.0,6.85799962e-05,0.0001770001
4,1,298,10.072,10.042,10.053610738255033,4.83,1.47,1.399,1.4286342281879194,25.84,0.0001282267,0.0,1.9363128187919463e-06,4.83,0.0001983338,3.000042e-06,7.133336045973154e-05,8.449,0.05852739,-0.02937013,0.0002619357027852349,4.93,0.05852739,0.1195835,-0.09456521,0.00025397725671140947,5.835,0.1195835,0.0002549229,-0.0002548594,-1.804014085302013e-06,4.83,0.0002549229,0.0003930899,-0.0003525234,-1.0624010375838929e-06,13.579,0.0003930899,10.0568,10.072,1.4219,1.454,5.1290764e-06,0.0001282267,7.104671349999999e-05,0.0001983338,10.052,10.052,1.43074,1.47,0.0,0.0,6.057336204e-05,0.0001663333
5,1,299,10.062,10.022,10.045545150501672,0.0,1.463,1.397,1.4338795986622075,10.263,6.411346e-05,0.0,1.500983076923077e-06,2.615,0.0002090003,2.666638e-06,7.312821241137123e-05,13.783,0.02934967,-0.02934152,-0.0004920598149832777,0.0,0.02934967,0.09475094,-0.1086105,0.0015232157322876258,15.492,0.1086105,0.0001282259,-9.578621e-05,-6.207773868561871e-07,2.615,0.0001282259,0.0004422147,-0.0003950586,1.856875006688963e-06,13.783,0.0004422147,10.048499999999999,10.062,1.4252499999999997,1.456,2.8851054e-06,6.411346e-05,7.24333677e-05,0.0001923333,10.0392,10.042,1.4454,1.463,1.2822672e-06,3.205668e-05,7.32599994e-05,0.0001779993
6,2,300,10.108,9.765,9.947613333333333,12.908,16.469,0.897,7.854876666666668,20.409,0.07090961,3.205668e-05,0.004622801583533334,24.709,13.0611,0.006309659,1.829588856796667,20.709,0.4917793,-0.76752,-0.0021607064166666665,19.509,0.76752,20.29778,-40.00389,-0.044343978166666694,18.809,40.00389,0.1499616,-0.1590977,6.575656966666075e-06,5.306,0.1590977,32.65156,-31.02538,0.0695550295333334,20.709,32.65156,9.95397,10.014,6.681360000000001,14.164,0.0035810637355999995,0.05581082,1.0497496787000002,6.938884,9.9343,10.064,8.38902,15.746,0.0028908781014000003,0.01814413,1.9090034054,7.976419
7,2,299,10.086,9.65,9.95936789297659,2.406,18.328,0.739,7.272481605351171,0.904,0.1177446,0.0,0.003233020841304348,0.0,26.50046,0.005593308,1.348543165541806,0.0,0.6293567,-1.509104,-0.0045898043290969895,0.502,1.509104,22.25177,-39.40021,-0.6384011374581938,0.703,39.40021,0.2908596,-0.5891331,-0.0037922733134615385,0.0,0.5891331,20.10648,-276.1553,-1.753258391100335,9.211,276.1553,9.93726,10.086,9.00727,18.328,0.0063453230914,0.1177446,2.3717162791999997,26.50046,9.964400000000001,10.07,6.872059999999999,12.733,0.0014258880534000005,0.01109162,0.8551919296,3.642334
8,2,300,10.044,9.53,9.94919,11.007,32.94,0.478,6.058816666666667,0.0,0.1378763,3.205668e-05,0.003039838709466667,0.502,78.47056,0.001155333,1.3539016814166664,0.101,0.8443098,-0.638454,0.007724002738233333,0.602,0.8443098,57.90226,-76.36274,-0.6107211311999998,0.0,76.36274,0.2648102,-0.3388083,-0.0006938940193833335,0.502,0.3388083,102.6338,-213.3623,-1.24210529829,0.202,213.3623,9.929280000000002,10.037,6.154849999999999,32.94,0.005491649642500001,0.1378763,2.16724748276,78.47056,9.94852,10.024,4.46612,15.41,0.0015150044734,0.01400882,1.32570173982,31.84689
9,2,300,10.092,9.795,9.9595,14.109,12.092,0.233,5.780823333333333,3.604,0.02394639,0.0,0.0024460399576999997,7.606,10.4124,0.009446999,0.9619913698733334,14.009,0.3621168,-0.6527443,0.005412078016999999,3.604,0.6527443,17.7614,-27.92914,0.11158693863333342,14.209,27.92914,0.06707847,-0.05173962,0.0001728819149666666,7.706,0.06707847,21.29483,-15.58777,-0.017899905283333364,14.009,21.29483,9.952629999999997,10.067,5.14206,12.092,0.0024827986927,0.02394639,0.9498042351299999,6.33285,9.972940000000001,10.091,5.70754,9.359,0.002926786471,0.02083692,0.7099387884000001,3.735414
10,2,300,10.084,9.806,9.948446666666667,29.617,15.488,0.884,5.743133333333334,25.414,0.01907375,3.205668e-05,0.0022951580758000002,1.402,6.579716,0.009489007,0.8900472588233334,7.804,0.3608932,-0.5835295,-0.00046783638133333363,29.617,0.5835295,21.533,-28.22102,0.3232865171000001,29.717,28.22102,0.04744407,-0.03904518,0.00012025863990211364,20.109,0.04744407,10.54228,-14.60315,0.0615523233566667,16.709,14.60315,9.951659999999999,10.061,6.025689999999998,11.647,0.0025193415206999996,0.01907375,0.9047522296,6.579716,9.956880000000002,10.084,6.056059999999999,15.488,0.0025017109518,0.01583604,1.09855311994,6.064713
