session_id,level,started_at_utc,total_samples,discontinuities,selected_segment_samples,excluded_from_timing,segment_span_s,first_selected_record_id,all_metrics_zero
1,1,2026-09-24T06:53:18.894+00:00,299,0,299,0,29.973,1,False
2,1,2026-09-24T06:54:16.497+00:00,300,0,300,0,29.926,300,False
3,1,2026-09-24T06:54:56.967+00:00,298,0,298,0,29.868,600,False
4,1,2026-09-24T06:58:34.848+00:00,298,0,298,0,29.862,898,False
5,1,2026-09-24T06:59:54.616+00:00,299,0,299,0,29.967,1196,False
6,2,2026-09-24T07:01:13.081+00:00,300,0,300,0,29.91,1495,False
7,2,2026-09-24T07:01:52.823+00:00,299,0,299,0,29.827,1795,False
8,2,2026-09-24T07:02:30.793+00:00,300,0,300,0,29.923,2094,False
9,2,2026-09-24T07:03:11.937+00:00,300,0,300,0,29.918,2394,False
10,2,2026-09-24T07:03:51.952+00:00,300,0,300,0,29.917,2694,False
11,3,2026-09-24T07:05:10.040+00:00,299,0,299,0,29.894,2994,False
12,3,2026-09-24T07:06:20.664+00:00,298,0,298,0,29.932,3293,False
13,3,2026-09-24T07:07:03.011+00:00,298,0,298,0,29.954,3591,False
14,3,2026-09-24T07:07:44.802+00:00,298,0,298,0,29.92,3889,False
15,3,2026-09-24T07:08:22.765+00:00,299,0,299,0,29.985,4187,False
16,4,2026-09-24T07:09:34.221+00:00,298,0,298,0,29.976,4486,False
17,4,2026-09-24T07:10:19.794+00:00,298,0,298,0,29.98,4784,False
18,4,2026-09-24T07:11:02.435+00:00,297,0,297,0,29.873,5082,False
19,4,2026-09-24T07:11:57.154+00:00,298,0,298,0,29.968,5379,False
20,4,2026-09-24T07:12:37.044+00:00,298,0,298,0,29.97,5677,False
21,5,2026-09-24T07:35:56.529+00:00,299,0,299,0,29.961,5975,False
22,5,2026-09-24T07:37:27.827+00:00,299,0,299,0,30.019,6274,False
23,5,2026-09-24T07:38:15.990+00:00,299,0,299,0,30.019,6573,False
24,5,2026-09-24T07:39:41.035+00:00,299,0,299,0,30.016,6872,False
25,5,2026-09-24T07:40:29.809+00:00,299,0,299,0,30.01,7171,False
26,6,2026-09-24T08:30:29.457+00:00,299,0,299,0,30.047,7470,False
27,6,2026-09-24T09:08:48.241+00:00,302,1,300,2,30.042,9155,False
28,6,2026-09-24T09:09:31.261+00:00,299,0,299,0,29.969,9455,False
29,6,2026-09-24T09:10:50.207+00:00,300,0,300,0,30.126,9754,False
30,6,2026-09-24T09:11:41.114+00:00,299,0,299,0,30.0,10054,False
