session_id,level,kind,start_after_peak_s,end_after_peak_s,center_after_peak_s,samples,accel_magnitude_mps2_mean,gyro_magnitude_dps_mean,accel_msd_mean,gyro_msd_mean
21,5,fall_simulation,-5,-4,-4.5,10,9.903400000000001,8.205400000000001,0.0061933673000000005,2.8599295099999997
21,5,fall_simulation,-4,-3,-3.5,10,9.839400000000001,7.1099000000000006,0.00447832991,2.59314857
21,5,fall_simulation,-3,-2,-2.5,10,9.8893,9.4568,0.007722488339999998,4.043665580000001
21,5,fall_simulation,-2,-1,-1.5,10,9.9016,10.949900000000001,0.004491158219999999,1.93642891
21,5,fall_simulation,-1,0,-0.5,9,10.130555555555555,30.792333333333332,1.6432705039222222,419.5983562222222
21,5,fall_simulation,0,1,0.5,10,7.7737,50.032399999999996,4.75864518,731.328689
21,5,fall_simulation,1,2,1.5,10,8.1587,26.5771,0.373291776,139.2898563
21,5,fall_simulation,2,3,2.5,10,9.4322,9.855999999999998,0.03001157459,13.510706859999999
21,5,fall_simulation,3,4,3.5,10,10.0086,1.3724,0.00010899278999999999,0.04206426
21,5,fall_simulation,4,5,4.5,10,10.042,1.4052,3.205679e-06,0.000184566876
21,5,fall_simulation,5,6,5.5,10,10.042,1.4244999999999999,3.205679e-06,6.9699895e-05
21,5,fall_simulation,6,7,6.5,10,10.042,1.4367999999999999,0.0,7.556661999999999e-05
21,5,fall_simulation,7,8,7.5,10,10.042,1.4331,3.205679e-06,6.4433264e-05
21,5,fall_simulation,8,9,8.5,10,10.042,1.4484,0.0,6.30667114e-05
21,5,fall_simulation,9,10,9.5,10,10.042,1.4266999999999999,0.0,7.71999547e-05
22,5,fall_simulation,-5,-4,-4.5,10,10.018699999999999,12.033100000000001,0.00788275959,5.4453632800000005
22,5,fall_simulation,-4,-3,-3.5,10,10.0417,11.1067,0.016490024399999997,7.964685200000001
22,5,fall_simulation,-3,-2,-2.5,10,9.9469,12.6458,0.0115981468,3.11296186
22,5,fall_simulation,-2,-1,-1.5,10,10.0026,15.880899999999997,0.031854840499999995,17.3578554
22,5,fall_simulation,-1,0,-0.5,9,9.07911111111111,86.34722222222223,3.598667455555556,1336.7408666666665
