session_id,level,kind,start_after_peak_s,end_after_peak_s,samples,accel_magnitude_mps2_mean,gyro_magnitude_dps_mean,accel_msd_mean,gyro_msd_mean
21,5,fall_simulation,1,3,20,8.795449999999999,18.21655,0.201651675295,76.40028157999998
21,5,fall_simulation,3,8,50,10.035319999999999,1.4143999999999997,2.37219654e-05,0.008491705331
21,5,fall_simulation,5,10,50,10.042,1.4339,1.2822716e-06,6.999328902000001e-05
22,5,fall_simulation,1,3,20,9.287850000000002,45.711149999999996,0.419942348,259.96952855000006
22,5,fall_simulation,3,8,50,10.010399999999999,2.1360400000000004,0.0007565402346000002,0.1960189517898
22,5,fall_simulation,5,10,50,10.0372,1.4438400000000002,3.8468056e-06,8.64799992e-05
23,5,fall_simulation,1,3,20,9.288050000000002,12.254950000000003,0.09984889334300001,8.99185459145
23,5,fall_simulation,3,8,50,10.03446,1.4519799999999998,2.5645384e-06,0.0001535799996
23,5,fall_simulation,5,10,50,10.040799999999999,1.4444000000000004,1.2822692e-06,8.2446563e-05
24,5,fall_simulation,1,3,20,9.587499999999999,10.971900000000002,0.039304841363499994,10.178514760800002
24,5,fall_simulation,3,8,50,10.0344,1.4631000000000003,2.88511104e-05,0.00011747322604000001
24,5,fall_simulation,5,10,50,10.04168,1.4510399999999999,2.7568840800000005e-05,8.4626527e-05
25,5,fall_simulation,1,3,20,9.83005,7.4313,0.024315081602,3.9780142049000005
25,5,fall_simulation,3,8,50,10.041799999999999,1.4534399999999996,5.7702204e-06,9.526665020000001e-05
25,5,fall_simulation,5,10,50,10.0392,1.45224,1.9234052e-06,7.828001959999998e-05
26,6,fall_simulation,1,3,20,9.754,6.37625,0.012179973161,2.6048160132700002
26,6,fall_simulation,3,8,50,10.031639999999998,1.45964,1.2822694e-06,8.258004100000001e-05
26,6,fall_simulation,5,10,50,10.0354,1.45578,6.411336e-07,5.8226660339999994e-05
27,6,fall_simulation,1,3,20,9.79385,22.345449999999996,0.07793647959999998,29.444620344999997
27,6,fall_simulation,3,8,50,10.038900000000002,1.6643,4.1673810200000005e-05,0.022458841391400003
27,6,fall_simulation,5,10,50,10.0494,1.44512,4.29560978e-05,0.0001313732764
28,6,fall_simulation,1,3,20,9.03535,33.29395,0.165744840991,52.7287665525
28,6,fall_simulation,3,8,50,10.040919999999998,1.5018200000000002,4.4879464000000004e-06,0.0006103336232000001
28,6,fall_simulation,5,10,50,10.042,1.46664,0.0,6.386667322e-05
29,6,fall_simulation,1,3,20,9.45465,27.722600000000007,0.18405728324999998,81.209300275
29,6,fall_simulation,3,8,50,10.04074,1.6916200000000001,7.821853859999998e-05,0.14954224601700003
29,6,fall_simulation,5,10,50,10.049039999999998,7.03182,0.0014605074627999997,2.2973736621854
30,6,fall_simulation,1,3,20,9.737399999999997,21.06685,0.07569891181850001,56.27587198565
30,6,fall_simulation,3,8,50,10.038640000000001,1.4941599999999997,1.66694786e-05,0.00024634671228
30,6,fall_simulation,5,10,50,10.043440000000002,1.4677599999999997,1.6028345000000003e-05,7.354000008e-05
31,7,near_fall_simulation,1,3,20,9.885649999999998,34.51370000000001,0.3590777705,131.077286
31,7,near_fall_simulation,3,8,50,9.85716,16.71674,0.040527480479999996,37.670600302000004
31,7,near_fall_simulation,5,10,50,9.91726,14.10392,0.025656969667999997,24.673052318
32,7,near_fall_simulation,1,3,20,9.920399999999999,12.73855,0.011695921469999999,8.133611454999999
32,7,near_fall_simulation,3,8,50,9.951979999999999,11.60086,0.0100421147356,3.5481096959999996
32,7,near_fall_simulation,5,10,50,9.939300000000001,9.606940000000002,0.008044333814600001,3.0403333139999997
33,7,near_fall_simulation,1,3,20,10.021599999999998,19.74885,0.043678990715,27.007682875
33,7,near_fall_simulation,3,8,50,9.87816,21.444899999999997,0.035450964700000004,22.679597819999998
33,7,near_fall_simulation,5,10,50,9.882799999999998,19.71846,0.036429983539999995,17.77058718
34,7,near_fall_simulation,1,3,20,9.8286,19.795199999999998,0.032568099350000004,18.45299085
34,7,near_fall_simulation,3,8,50,9.90166,12.56614,0.04154303852,17.107007560000003
34,7,near_fall_simulation,5,10,50,9.88268,12.405660000000001,0.05612759494,19.78103422
35,7,near_fall_simulation,1,3,20,9.8994,19.15265,0.035244861100000004,22.573534449999997
35,7,near_fall_simulation,3,8,50,9.89962,16.21816,0.030459717627399997,17.895155459999998
35,7,near_fall_simulation,5,10,50,9.91008,15.8279,0.0220024959474,15.00105878
