session_id,level,saved_samples,selected_samples,excluded_prefix_samples,discontinuities,largest_interval_ms,selected_span_s,first_selected_record_id,all_sensor_metrics_zero
21,5,299,299,0,0,101.0,29.961,5975,False
22,5,299,299,0,0,101.0,30.019,6274,False
23,5,299,299,0,0,101.0,30.019,6573,False
24,5,299,299,0,0,101.0,30.016,6872,False
25,5,299,299,0,0,101.0,30.01,7171,False
26,6,299,299,0,0,101.0,30.047,7470,False
27,6,302,300,2,1,19463.0,30.042,9155,False
28,6,299,299,0,0,101.0,29.969,9455,False
29,6,300,300,0,0,101.0,30.126,9754,False
30,6,299,299,0,0,101.0,30.0,10054,False
31,7,301,299,2,1,84577.0,30.06,10355,False
32,7,299,299,0,0,101.0,29.973,10654,False
33,7,299,299,0,0,101.0,30.059,10953,False
34,7,299,299,0,0,101.0,30.052,11252,False
35,7,299,299,0,0,101.0,30.042,11551,False
