session_id,level,samples,span_s,min_interval_ms,max_interval_ms,mean_interval_ms
1,1,299,29.973,100,101,100.58053691275168
2,1,300,29.926,100,101,100.08695652173913
3,1,298,29.868,100,101,100.56565656565657
4,1,298,29.862,100,101,100.54545454545455
5,1,299,29.967,100,101,100.56040268456375
6,2,300,29.91,100,101,100.03344481605352
7,2,299,29.827,100,101,100.09060402684564
8,2,300,29.923,100,101,100.07692307692308
9,2,300,29.918,100,101,100.06020066889631
10,2,300,29.917,100,101,100.05685618729098
11,3,299,29.894,100,101,100.31543624161074
12,3,298,29.932,100,101,100.78114478114477
13,3,298,29.954,100,101,100.85521885521885
14,3,298,29.92,100,101,100.74074074074075
15,3,299,29.985,100,101,100.62080536912751
16,4,298,29.976,100,101,100.92929292929293
17,4,298,29.98,100,101,100.94276094276094
18,4,297,29.873,100,101,100.92229729729729
19,4,298,29.968,100,101,100.9023569023569
20,4,298,29.97,100,101,100.9090909090909
